Location,Period,Life Expectancy,Birth Attended,Medical Doctor Available,Nurse and Midwife Available
Denmark,2015,80.59,96.86,38.456,102.12
Denmark,2010,79.17,98.63333333,33.434,97.64
Denmark,2000,76.93,98.8,26.90636364,91.52333333
Djibouti,2015,64.64,87.4,2.24,4.59
Djibouti,2010,61.87,69.5,1.93,5.65
Dominican Republic,2015,71.75,98.7,15.27,14.2575
Dominican Republic,2010,73.17,97.03333333,10.98,13.25
Ecuador,2019,78.45,96.1,20.37,27.29
Ecuador,2015,77.18,92.72,18.615,21.815
Ecuador,2010,75.02,82.07142857,16.634,16.544
Egypt,2015,70.49,91.5,9.8,19.56666667
Egypt,2010,70.2,76.55,5.29,21.575
El Salvador,2019,75.03,99.9,15.66,18.25333333
El Salvador,2010,74.5,93.48333333,16.41333333,13.68
Eritrea,2010,60.7,34.1,0.79,9.21
Estonia,2019,78.88,99.23333333,34.55,80.4
Estonia,2015,77.6,99.4,33.356,62.732
Estonia,2010,75.87,99.45,31.855,64.771
Estonia,2000,70.94,99.5,32.45636364,76.79
Eswatini,2015,54.05,88.3,1.02,29.39
Eswatini,2010,47.43,75,1.66,40.955
Ethiopia,2019,68.7,27.7,0.46,5.533333333
Ethiopia,2010,62.92,5.7,0.264285714,2.251428571
Fiji,2015,67.83,99.64,8.38,29.605
Fiji,2010,67.6,98.28,4.336666667,21.45666667
Fiji,2000,65.9,96.9,3.36,19.55
Finland,2019,81.61,99.93333333,38.12,147.4
Finland,2015,81.21,99.775,32.854,118.52
Finland,2010,79.88,99.67,30.086,138.41
Finland,2000,77.6,98.4,29.82714286,129.95
France,2019,82.48,97.83333333,32.38,111.7333333
France,2015,81.91,97.52,31.936,99.672
France,2010,81.22,98.1625,34.117,81.249
Gambia,2015,64.14,57.2,1.02,9.766666667
Gambia,2010,62.42,54.1,1.063333333,7.188333333
Georgia,2019,73.28,99.65,59.97,45.28333333
Georgia,2015,72.58,99.86,46.566,38.558
Georgia,2010,71.87,98.41,39.407,40.794
Georgia,2000,69.41,95.5,36.458,48.278
Germany,2019,81.72,98.3,41.94,131.9
Germany,2015,80.42,98.56,39.994,124.82
Germany,2010,80.17,98.42,34.931,111.1
Germany,2000,78.09,98.6,30.605,102.9
Ghana,2019,66.28,78.1,1.27,28.89333333
Ghana,2015,64.55,69,0.97,10.1975
Ghana,2010,62,53.2,0.964,10.37
Greece,2019,81.1,99.92333333,54.04,35.93
